Sample in Buffer,Sample in Window,TRIGGER,rx_data_valid,rx_data_I[11:0],user_probe_0[4:0],rx_data_Q[11:0],user_probe_1[4:0],valid,bit_out[2:0],phase_out[10:0],tx_data_I[11:0],tx_data_Q[11:0],out_i[11:0],out_q[11:0],data_in_int[13:0],amp_dc[7:0],<const0>_1,<const0>_2,<const0>_3,<const0>_4,<const0>_5,<const0>_6,<const0>_7,<const0>_8,<const0>_9,<const0>_10,amp_ac[7:0],<const0>_11,<const0>_12,<const0>_13,<const0>_14,<const0>_15,<const0>_16,<const0>_17,<const0>_18,<const0>_19,<const0>,frame_start__0,state[1:0],state__0[1:0],amp[7:0],valid_in
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,SIGNED,SIGNED,SIGNED,SIGNED,HEX,UNSIGNED,UNSIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,UNSIGNED,HEX
0,0,0,1,336,-16,-268,-12,0,3,1734,-680,261,450,1174,-108,54,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,51,0
1,1,0,0,1580,12,193,1,0,3,1853,-680,261,336,1147,-41,54,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,78,0
2,2,0,1,1580,12,193,1,0,3,107,-680,261,237,1113,-20,56,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,2,1,74,0
3,3,0,0,1419,11,21,-11,0,3,317,-680,261,-95,663,47,57,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,71,0
4,4,0,1,1419,11,21,-11,0,3,393,261,-680,-440,226,38,57,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,41,1
5,5,0,0,4,4,406,-10,0,3,419,261,-680,-783,-140,3,56,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,30,0
6,6,0,1,4,4,406,-10,0,3,445,261,-680,-1121,-507,-58,55,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,49,0
7,7,0,0,-1261,-13,907,11,0,3,557,261,-680,-1020,-567,25,55,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,76,0
8,8,0,1,-1261,-13,907,11,0,3,870,261,-680,-925,-614,51,56,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,72,0
9,9,0,0,-1185,-1,886,-10,0,3,1082,261,-680,-381,-530,121,57,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,69,0
10,10,0,1,-1185,-1,886,-10,0,3,1161,261,630,165,-460,112,57,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,40,1
11,11,0,0,-220,4,-373,11,0,3,1188,261,630,661,-446,76,56,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,30,0
12,12,0,1,-220,4,-373,11,0,3,1214,261,630,1149,-427,14,55,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,49,0
13,13,0,0,143,15,-1542,-6,0,3,1333,261,630,1121,-325,89,55,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,76,0
14,14,0,1,143,15,-1542,-6,0,3,1647,261,630,1086,-244,106,57,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,72,0
15,15,0,0,64,0,-1311,1,0,3,1856,261,630,640,65,170,57,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,70,0
16,16,0,1,64,0,-1311,1,0,3,1933,-680,-261,202,386,157,57,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,39,1
17,17,0,0,386,2,39,7,0,3,1958,-680,-261,-194,722,119,56,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,27,0
18,18,0,1,386,2,39,7,0,3,1977,-680,-261,-581,1056,62,55,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,46,0
19,19,0,0,936,8,1358,14,0,3,32,-680,-261,-653,960,158,55,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,75,0
20,20,0,1,936,8,1358,14,0,3,355,-680,-261,-704,872,187,56,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,72,0
21,21,0,0,970,10,1103,15,0,3,597,-680,-261,-582,342,230,57,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,70,0
22,22,0,1,970,10,1103,15,0,3,674,630,-261,-474,-190,196,57,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,42,1
23,23,0,0,-387,-3,283,-5,0,3,706,630,-261,-426,-666,130,56,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,31,0
24,24,0,1,-387,-3,283,-5,0,3,733,630,-261,-376,-1131,37,55,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,49,0
25,25,0,0,-1518,-14,-224,0,0,3,852,630,-261,-280,-1080,81,55,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,74,0
26,26,0,1,-1518,-14,-224,0,0,3,1148,630,-261,-197,-1026,85,56,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,69,0
27,27,0,0,-1496,8,-205,-13,0,3,1351,630,-261,107,-574,142,57,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,65,0
28,28,0,1,-1496,8,-205,-13,0,3,1432,-261,630,421,-137,118,56,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,36,1
29,29,0,0,133,5,-371,13,0,3,1454,-261,630,760,236,72,55,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,27,0
30,30,0,1,133,5,-371,13,0,3,1476,-261,630,1098,604,4,54,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,50,0
31,31,0,0,1277,-3,-1039,-15,0,3,1594,-261,630,1005,648,74,54,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,78,0
32,32,0,1,1277,-3,-1039,-15,0,3,1946,-261,630,921,674,48,56,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,74,0
33,33,0,0,1076,-12,-886,10,0,3,98,-261,630,377,559,78,56,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,71,0
34,34,0,1,1076,-12,-886,10,0,3,163,-261,-680,-170,458,43,56,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,42,1
35,35,0,0,363,11,332,12,0,3,186,-261,-680,-678,406,-15,55,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,30,0
36,36,0,1,363,11,332,12,0,3,205,-261,-680,-1176,365,-92,54,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,49,0
37,37,0,0,-286,2,1589,-11,0,3,319,-261,-680,-1143,259,-27,54,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,76,0
38,38,0,1,-286,2,1589,-11,0,3,627,-261,-680,-1108,175,-14,56,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,73,0
39,39,0,0,0,0,1484,12,0,3,849,-261,-680,-644,-137,33,56,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,70,0
40,40,0,1,0,0,1484,12,0,3,928,630,261,-190,-459,1,56,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,40,1
41,41,0,0,-510,2,-97,-1,0,3,952,630,261,182,-798,-55,55,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,31,0
42,42,0,1,-510,2,-97,-1,0,3,975,630,261,545,-1131,-134,54,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,50,0
43,43,0,0,-916,12,-1168,-16,0,3,1092,630,261,602,-1026,-74,54,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,78,0
44,44,0,1,-916,12,-1168,-16,0,3,1408,630,261,640,-932,-74,56,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,74,0
45,45,0,0,-999,-7,-1174,10,0,3,1608,630,261,552,-391,-18,57,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,70,0
46,46,0,1,-999,-7,-1174,10,0,3,1682,-680,261,484,153,-36,56,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,42,1
47,47,0,0,404,-12,-175,-15,0,3,1708,-680,261,464,663,-80,55,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,31,0
48,48,0,1,404,-12,-175,-15,0,3,1731,-680,261,446,1164,-147,54,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,50,0
49,49,0,0,1559,-9,27,-5,0,3,1849,-680,261,338,1137,-76,55,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,78,0
50,50,0,1,1559,-9,27,-5,0,3,99,-680,261,252,1101,-47,56,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,73,0
51,51,0,0,1461,-11,224,0,0,3,313,-680,261,-83,660,24,57,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,70,0
52,52,0,1,1461,-11,224,0,0,3,394,261,-680,-428,226,14,57,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,41,1
53,53,0,0,-8,-8,212,-12,0,3,419,261,-680,-779,-133,-21,56,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,30,0
54,54,0,1,-8,-8,212,-12,0,3,440,261,-680,-1124,-495,-77,55,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,49,0
55,55,0,0,-1336,8,1100,12,0,3,551,261,-680,-1023,-567,12,55,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,76,0
56,56,0,1,-1336,8,1100,12,0,3,866,261,-680,-930,-615,42,56,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,73,0
57,57,0,0,-1033,-9,737,1,0,3,1079,261,-680,-385,-540,115,57,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,69,0
58,58,0,1,-1033,-9,737,1,0,3,1157,261,630,161,-481,110,57,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,41,1
59,59,0,0,-350,2,-287,1,0,3,1188,261,630,666,-463,74,56,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,31,0
60,60,0,1,-350,2,-287,1,0,3,1213,261,630,1161,-442,13,55,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,50,0
61,61,0,0,177,-15,-1576,-8,0,3,1335,261,630,1136,-329,86,55,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,77,0
62,62,0,1,177,-15,-1576,-8,0,3,1640,261,630,1101,-245,110,57,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,73,0
63,63,0,0,145,-15,-1387,-11,0,3,1851,261,630,642,72,179,58,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,70,0
64,64,0,1,145,-15,-1387,-11,0,3,1930,-680,-261,190,393,169,57,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,40,1
65,65,0,0,219,-5,142,14,0,3,1957,-680,-261,-199,731,132,56,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,27,0
66,66,0,1,219,-5,142,14,0,3,1978,-680,-261,-586,1063,74,55,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,47,0
67,67,0,0,1126,6,1242,-6,0,3,36,-680,-261,-641,959,166,55,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,76,0
68,68,0,1,1126,6,1242,-6,0,3,365,-680,-261,-682,859,185,57,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,72,0
69,69,0,0,801,1,1185,1,0,3,597,-680,-261,-580,337,228,57,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,68,0
70,70,0,1,801,1,1185,1,0,3,676,630,-261,-491,-186,192,57,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,41,1
71,71,0,0,-245,11,276,-12,0,3,704,630,-261,-435,-671,128,56,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,33,0
72,72,0,1,-245,11,276,-12,0,3,730,630,-261,-376,-1147,38,55,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,49,0
73,73,0,0,-1646,-14,-242,14,0,3,854,630,-261,-280,-1099,80,55,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,75,0
74,74,0,1,-1646,-14,-242,14,0,3,1142,630,-261,-197,-1047,90,57,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,70,0
75,75,0,0,-1409,-1,-160,0,0,3,1350,630,-261,97,-581,148,57,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,66,0
76,76,0,1,-1409,-1,-160,0,0,3,1433,-261,630,407,-128,123,57,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,2,1,36,1
77,77,0,0,117,-11,-414,2,0,3,1455,-261,630,756,233,76,56,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,2,1,26,0
78,78,0,1,117,-11,-414,2,0,3,1477,-261,630,1104,589,7,54,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,48,0
79,79,0,0,1230,14,-1018,6,0,3,1589,-261,630,1009,645,82,54,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,78,0
80,80,0,1,1230,14,-1018,6,0,3,1949,-261,630,923,685,53,56,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,74,0
81,81,0,0,1185,1,-841,-9,0,3,97,-261,630,375,573,84,57,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,71,0
82,82,0,1,1185,1,-841,-9,0,3,158,-261,-680,-168,471,54,56,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,43,1
83,83,0,0,204,12,247,-9,0,3,185,-261,-680,-681,414,-3,55,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,30,0
84,84,0,1,204,12,247,-9,0,3,208,-261,-680,-1182,368,-83,54,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,50,0
85,85,0,0,-192,0,1721,-7,0,3,325,-261,-680,-1141,263,-24,54,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,77,0
86,86,0,1,-192,0,1721,-7,0,3,623,-261,-680,-1099,172,-7,56,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,73,0
87,87,0,0,-22,10,1356,12,0,3,847,-261,-680,-639,-138,42,57,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,69,0
88,88,0,1,-22,10,1356,12,0,3,926,630,261,-191,-465,12,56,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,40,1
89,89,0,0,-535,9,-20,12,0,3,952,630,261,184,-795,-44,55,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,31,0
90,90,0,1,-535,9,-20,12,0,3,975,630,261,549,-1121,-123,54,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,50,0
91,91,0,0,-878,-14,-1203,13,0,3,1092,630,261,607,-1018,-63,55,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,77,0
92,92,0,1,-878,-14,-1203,13,0,3,1410,630,261,645,-928,-65,56,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,74,0
93,93,0,0,-1066,-10,-1202,14,0,3,1610,630,261,543,-378,-11,57,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,70,0
94,94,0,1,-1066,-10,-1202,14,0,3,1683,-680,261,459,169,-30,57,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,41,1
95,95,0,0,451,3,-172,-12,0,3,1710,-680,261,454,675,-76,56,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,30,0
96,96,0,1,451,3,-172,-12,0,3,1733,-680,261,453,1175,-145,54,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,51,0
97,97,0,0,1542,6,106,10,0,3,1851,-680,261,342,1136,-76,55,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,78,0
98,98,0,1,1542,6,106,10,0,3,114,-680,261,253,1087,-62,56,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,73,0
99,99,0,0,1456,-16,114,-14,0,3,320,-680,261,-87,654,2,57,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,69,0
100,100,0,1,1456,-16,114,-14,0,3,393,261,-680,-437,228,-7,57,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,41,1
101,101,0,0,-2,-2,406,-10,0,3,419,261,-680,-786,-135,-42,56,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,30,0
102,102,0,1,-2,-2,406,-10,0,3,439,261,-680,-1130,-498,-97,55,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,49,0
103,103,0,0,-1337,7,826,-6,0,3,554,261,-680,-1039,-569,-11,55,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,76,0
104,104,0,1,-1337,7,826,-6,0,3,868,261,-680,-954,-625,17,56,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,73,0
105,105,0,0,-1022,2,953,-7,0,3,1078,261,-680,-391,-542,91,57,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,71,0
106,106,0,1,-1022,2,953,-7,0,3,1159,261,630,166,-469,84,57,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,41,1
107,107,0,0,-376,8,-387,-3,0,3,1187,261,630,671,-455,49,56,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,30,0
108,108,0,1,-376,8,-387,-3,0,3,1212,261,630,1166,-438,-11,55,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,50,0
109,109,0,0,226,2,-1510,-6,0,3,1334,261,630,1137,-324,63,55,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,77,0
110,110,0,1,226,2,-1510,-6,0,3,1647,261,630,1100,-238,80,57,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,73,0
