addr,v5,v6,v5_comment,v6_comment
0,3df01,3df01,SPIWrite [3DF]=01,SPIWrite [3DF]=01
1,29514,29514,"SPIWrite [295]=14, Power up XO path (Default)","SPIWrite [295]=14, Power up XO path (Default)"
2,2a60e,2a60e,"SPIWrite [2A6]=0E, Enable Master Bias","SPIWrite [2A6]=0E, Enable Master Bias"
3,2a80e,2a80e,"SPIWrite [2A8]=0E, Set Bandgap Trim","SPIWrite [2A8]=0E, Set Bandgap Trim"
4,29208,29208,"SPIWrite [292]=08, Set DCXO Coarse Tune[5:0]","SPIWrite [292]=08, Set DCXO Coarse Tune[5:0]"
5,29380,29380,"SPIWrite [293]=80, Set DCXO Fine Tune [12:5]","SPIWrite [293]=80, Set DCXO Fine Tune [12:5]"
6,29400,29400,"SPIWrite [294]=00, Set DCXO Fine Tune [4:0]","SPIWrite [294]=00, Set DCXO Fine Tune [4:0]"
7,2ab07,2ab07,"SPIWrite [2AB]=07, Set RF PLL reflclk scale to REFCLK * 2","SPIWrite [2AB]=07, Set RF PLL reflclk scale to REFCLK * 2"
8,2acff,2acff,"SPIWrite [2AC]=FF, Set RF PLL reflclk scale to REFCLK * 2","SPIWrite [2AC]=FF, Set RF PLL reflclk scale to REFCLK * 2"
9,00907,00917,"SPIWrite [009]=07, Enable Clocks","SPIWrite [009]=17, Enable Clocks"
10,40000,40000,"WAIT 20 ms, waits 20 ms","WAIT 20 ms, waits 20 ms"
11,04500,04500,"SPIWrite [045]=00, Set BBPLL reflclk scale to REFCLK /1","SPIWrite [045]=00, Set BBPLL reflclk scale to REFCLK /1"
12,04602,04602,"SPIWrite [046]=02, Set BBPLL Loop Filter Charge Pump current","SPIWrite [046]=02, Set BBPLL Loop Filter Charge Pump current"
13,048e8,048e8,"SPIWrite [048]=E8, Set BBPLL Loop Filter C1, R1","SPIWrite [048]=E8, Set BBPLL Loop Filter C1, R1"
14,0495b,0495b,"SPIWrite [049]=5B, Set BBPLL Loop Filter R2, C2, C1","SPIWrite [049]=5B, Set BBPLL Loop Filter R2, C2, C1"
15,04a35,04a35,"SPIWrite [04A]=35, Set BBPLL Loop Filter C3,R2","SPIWrite [04A]=35, Set BBPLL Loop Filter C3,R2"
16,04be0,04be0,"SPIWrite [04B]=E0, Allow calibration to occur and set cal count to 1024 for max accuracy","SPIWrite [04B]=E0, Allow calibration to occur and set cal count to 1024 for max accuracy"
17,04e10,04e10,"SPIWrite [04E]=10, Set calibration clock to REFCLK/4 for more accuracy","SPIWrite [04E]=10, Set calibration clock to REFCLK/4 for more accuracy"
18,0431f,0431f,"SPIWrite [043]=1F, BBPLL Freq Word (Fractional[7:0])","SPIWrite [043]=1F, BBPLL Freq Word (Fractional[7:0])"
19,042c5,042c5,"SPIWrite [042]=C5, BBPLL Freq Word (Fractional[15:8])","SPIWrite [042]=C5, BBPLL Freq Word (Fractional[15:8])"
20,0410d,0410d,"SPIWrite [041]=0D, BBPLL Freq Word (Fractional[23:16])","SPIWrite [041]=0D, BBPLL Freq Word (Fractional[23:16])"
21,04412,04412,"SPIWrite [044]=12, BBPLL Freq Word (Integer[7:0])","SPIWrite [044]=12, BBPLL Freq Word (Integer[7:0])"
22,03f05,03f05,"SPIWrite [03F]=05, Start BBPLL Calibration","SPIWrite [03F]=05, Start BBPLL Calibration"
23,03f01,03f01,"SPIWrite [03F]=01, Clear BBPLL start calibration bit","SPIWrite [03F]=01, Clear BBPLL start calibration bit"
24,04c86,04c86,"SPIWrite [04C]=86, Increase BBPLL KV and phase margin","SPIWrite [04C]=86, Increase BBPLL KV and phase margin"
25,04d01,04d01,"SPIWrite [04D]=01, Increase BBPLL KV and phase margin","SPIWrite [04D]=01, Increase BBPLL KV and phase margin"
26,04d05,04d05,"SPIWrite [04D]=05, Increase BBPLL KV and phase margin","SPIWrite [04D]=05, Increase BBPLL KV and phase margin"
